"idx","genres"
1,"Adventure"
1,"Animation"
1,"Children"
1,"Comedy"
1,"Fantasy"
2,"Adventure"
2,"Children"
2,"Fantasy"
3,"Comedy"
3,"Romance"
4,"Comedy"
4,"Drama"
4,"Romance"
5,"Comedy"
6,"Action"
6,"Crime"
6,"Thriller"
7,"Comedy"
7,"Romance"
8,"Adventure"
8,"Children"
9,"Action"
10,"Action"
10,"Adventure"
10,"Thriller"
11,"Comedy"
11,"Drama"
11,"Romance"
12,"Comedy"
12,"Horror"
13,"Adventure"
13,"Animation"
13,"Children"
14,"Drama"
15,"Action"
15,"Adventure"
15,"Romance"
16,"Crime"
16,"Drama"
17,"Drama"
17,"Romance"
18,"Comedy"
19,"Comedy"
20,"Action"
20,"Comedy"
20,"Crime"
20,"Drama"
20,"Thriller"
21,"Comedy"
21,"Crime"
21,"Thriller"
22,"Crime"
22,"Drama"
22,"Horror"
22,"Mystery"
22,"Thriller"
23,"Action"
23,"Crime"
23,"Thriller"
24,"Drama"
24,"Sci-Fi"
25,"Drama"
25,"Romance"
26,"Drama"
27,"Children"
27,"Drama"
28,"Drama"
28,"Romance"
29,"Adventure"
29,"Drama"
29,"Fantasy"
29,"Mystery"
29,"Sci-Fi"
30,"Crime"
30,"Drama"
31,"Drama"
32,"Mystery"
32,"Sci-Fi"
32,"Thriller"
33,"Children"
33,"Drama"
34,"Crime"
34,"Drama"
35,"Children"
35,"Comedy"
36,"Comedy"
36,"Romance"
37,"Drama"
38,"Drama"
38,"War"
39,"Action"
39,"Crime"
39,"Drama"
40,"Drama"
41,"Action"
41,"Adventure"
41,"Fantasy"
42,"Comedy"
42,"Drama"
42,"Thriller"
43,"Drama"
43,"Romance"
44,"Mystery"
44,"Thriller"
45,"Animation"
45,"Children"
45,"Drama"
45,"Musical"
45,"Romance"
46,"Drama"
46,"Romance"
47,"Crime"
47,"Mystery"
47,"Thriller"
48,"Comedy"
48,"Drama"
48,"Romance"
49,"Adventure"
49,"Drama"
50,"Children"
50,"Comedy"
51,"Drama"
52,"Drama"
53,"Comedy"
53,"Drama"
53,"Romance"
54,"Adventure"
54,"Children"
54,"Fantasy"
55,"Drama"
55,"Thriller"
56,"Drama"
57,"Comedy"
57,"Crime"
58,"Comedy"
58,"Romance"
59,"Comedy"
60,"Action"
60,"Sci-Fi"
60,"Thriller"
61,"Comedy"
61,"Romance"
62,"Comedy"
63,"Action"
63,"Comedy"
63,"Horror"
63,"Thriller"
64,"Action"
65,"Comedy"
65,"Drama"
66,"Drama"
66,"War"
67,"Drama"
67,"Romance"
68,"Comedy"
68,"Drama"
69,"Action"
69,"Sci-Fi"
69,"Thriller"
70,"Documentary"
71,"Action"
71,"Crime"
71,"Drama"
71,"Thriller"
72,"Drama"
72,"Thriller"
73,"Children"
73,"Drama"
74,"Crime"
74,"Drama"
74,"Romance"
75,"Comedy"
75,"Drama"
76,"Drama"
76,"Romance"
77,"Drama"
77,"Romance"
78,"Action"
78,"Adventure"
78,"Drama"
79,"Children"
79,"Comedy"
80,"Comedy"
81,"Action"
81,"Thriller"
82,"Drama"
82,"Horror"
82,"Thriller"
83,"Comedy"
83,"Horror"
83,"Romance"
84,"Comedy"
84,"Drama"
84,"Romance"
85,"Action"
85,"Adventure"
85,"Thriller"
86,"Comedy"
86,"Drama"
87,"Crime"
87,"Drama"
88,"Documentary"
89,"Drama"
89,"Thriller"
90,"Adventure"
90,"Comedy"
90,"Crime"
90,"Romance"
91,"Comedy"
92,"Mystery"
92,"Sci-Fi"
92,"Thriller"
93,"Comedy"
94,"Drama"
94,"Romance"
95,"Comedy"
95,"Drama"
96,"Adventure"
96,"Children"
96,"Comedy"
96,"Musical"
97,"Documentary"
98,"Action"
98,"Drama"
98,"War"
99,"Crime"
99,"Drama"
99,"Thriller"
100,"Action"
100,"Adventure"
100,"Comedy"
100,"Crime"
101,"Drama"
101,"Mystery"
102,"Documentary"
103,"Crime"
103,"Drama"
104,"Comedy"
104,"Romance"
105,"Comedy"
106,"Drama"
107,"Comedy"
107,"Romance"
108,"Drama"
108,"Mystery"
108,"Romance"
109,"Comedy"
110,"Adventure"
110,"Children"
110,"Fantasy"
111,"Documentary"
112,"Comedy"
112,"Romance"
113,"Thriller"
114,"Comedy"
115,"Documentary"
116,"Drama"
116,"Romance"
117,"Comedy"
118,"Comedy"
119,"Action"
119,"Comedy"
119,"Crime"
119,"Drama"
119,"Thriller"
120,"Adventure"
120,"Children"
121,"Drama"
122,"Drama"
123,"Crime"
123,"Drama"
123,"Thriller"
