"idx","title","value","genres"
1,"Toy Story (1995)",1,"Adventure"
1,"Toy Story (1995)",1,"Animation"
1,"Toy Story (1995)",1,"Children"
1,"Toy Story (1995)",1,"Comedy"
1,"Toy Story (1995)",1,"Fantasy"
2,"Jumanji (1995)",1,"Adventure"
2,"Jumanji (1995)",1,"Children"
2,"Jumanji (1995)",1,"Fantasy"
3,"Grumpier Old Men (1995)",1,"Comedy"
3,"Grumpier Old Men (1995)",1,"Romance"
4,"Waiting to Exhale (1995)",1,"Comedy"
4,"Waiting to Exhale (1995)",1,"Drama"
4,"Waiting to Exhale (1995)",1,"Romance"
5,"Father of the Bride Part II (1995)",1,"Comedy"
6,"Heat (1995)",1,"Action"
6,"Heat (1995)",1,"Crime"
6,"Heat (1995)",1,"Thriller"
7,"Sabrina (1995)",1,"Comedy"
7,"Sabrina (1995)",1,"Romance"
8,"Tom and Huck (1995)",1,"Adventure"
8,"Tom and Huck (1995)",1,"Children"
9,"Sudden Death (1995)",1,"Action"
10,"GoldenEye (1995)",1,"Action"
10,"GoldenEye (1995)",1,"Adventure"
10,"GoldenEye (1995)",1,"Thriller"
11,"American President, The (1995)",1,"Comedy"
11,"American President, The (1995)",1,"Drama"
11,"American President, The (1995)",1,"Romance"
12,"Dracula: Dead and Loving It (1995)",1,"Comedy"
12,"Dracula: Dead and Loving It (1995)",1,"Horror"
13,"Balto (1995)",1,"Adventure"
13,"Balto (1995)",1,"Animation"
13,"Balto (1995)",1,"Children"
14,"Nixon (1995)",1,"Drama"
15,"Cutthroat Island (1995)",1,"Action"
15,"Cutthroat Island (1995)",1,"Adventure"
15,"Cutthroat Island (1995)",1,"Romance"
16,"Casino (1995)",1,"Crime"
16,"Casino (1995)",1,"Drama"
17,"Sense and Sensibility (1995)",1,"Drama"
17,"Sense and Sensibility (1995)",1,"Romance"
18,"Four Rooms (1995)",1,"Comedy"
19,"Ace Ventura: When Nature Calls (1995)",1,"Comedy"
20,"Money Train (1995)",1,"Action"
